,city,humidity,cloudiness,windspeed,long,lat,temp,max_temp
145,sojat,37,9,3.83,73.67,25.92,52.08800000000005,52.08800000000005
146,alofi,83,75,3.6,-169.92,-19.06,82.4,82.4
147,bundaberg,83,40,4.6,152.35,-24.85,81.71600000000001,82.99400000000009
148,ulladulla,100,20,1.0,150.47,-35.35,66.29000000000002,69.00800000000001
149,sitka,90,90,8.7,-135.33,57.05,35.041999999999994,39.2
150,road town,78,40,6.2,-64.62,18.42,78.36800000000008,80.6
151,airai,72,0,2.41,125.41,-8.93,66.56000000000009,66.56000000000009
152,bhander,69,0,0.59,78.75,25.73,51.62000000000006,51.62000000000006
153,ramnagar,70,0,1.77,79.12,29.4,47.26400000000003,47.26400000000003
154,kurayoshi,70,75,2.6,133.82,35.43,44.6,44.6
155,vila franca do campo,88,40,6.7,-25.43,37.72,62.6,62.6
156,barmer,35,100,4.4,71.38,25.75,58.190000000000026,58.190000000000026
157,clyde river,74,20,3.1,-68.59,70.47,-25.59999999999995,-25.59999999999995
158,barrow,84,90,4.1,-156.79,71.29,3.1999999999999993,3.1999999999999993
159,kirakira,77,35,1.1,161.92,-10.45,79.44800000000004,79.44800000000004
160,kaseda,81,78,4.02,130.32,31.42,42.008,42.008
161,uyuni,35,82,4.2,-66.83,-20.46,66.75800000000001,66.75800000000001
162,lujiang,59,0,1.0,117.28,31.26,32.0,32.0
163,tura,77,58,0.45,90.22,25.52,60.35,60.35
164,nouadhibou,31,89,5.1,-17.03,20.93,73.4,73.4
165,salalah,60,75,0.5,54.09,17.02,75.2,75.2
166,shimoda,78,0,0.45,138.95,34.67,38.93000000000004,41.0
167,wanaka,73,26,0.45,169.15,-44.7,64.99400000000009,64.99400000000009
168,hami,49,2,1.96,93.45,42.8,15.8,15.8
169,bagdarin,87,0,1.5,113.6,54.43,-10.425999999999938,-10.425999999999938
170,sao jose da coroa grande,75,89,5.18,-35.15,-8.9,81.24800000000002,81.24800000000002
171,miguel auza,49,61,4.42,-103.45,24.29,65.35400000000006,65.35400000000006
172,ciudad bolivar,56,90,6.04,-63.55,8.12,86.27000000000007,86.27000000000007
173,petukhovo,85,100,2.96,67.9,55.07,4.099999999999998,4.099999999999998
174,katsuura,54,0,2.6,140.3,35.13,38.55200000000008,41.0
175,whyalla,77,75,5.1,137.58,-33.03,60.8,60.8
176,plettenberg bay,83,92,10.02,23.37,-34.05,65.55200000000008,65.55200000000008
177,boa vista,41,40,6.2,-60.67,2.82,91.4,91.4
178,kaz,94,100,4.03,87.31,52.91,13.910000000000082,13.910000000000082
179,ancud,52,0,3.6,-73.82,-41.87,66.2,66.2
180,ibra,74,0,2.13,58.53,22.69,62.294000000000075,62.294000000000075
181,vaini,88,75,6.2,-175.2,-21.2,73.4,73.4
182,orocue,48,95,5.33,-71.34,4.79,90.24800000000002,90.24800000000002
183,asau,80,90,2.6,26.4,46.43,33.8,33.8
184,ardrishaig,81,100,4.1,-5.45,56.02,41.72000000000006,42.8
185,nahariyya,87,75,2.6,35.09,33.01,55.400000000000006,55.400000000000006
186,bandarbeyla,75,45,8.61,50.81,9.49,76.74800000000002,76.74800000000002
187,mar del plata,31,0,7.2,-57.56,-38.0,91.4,91.4
188,port lincoln,72,74,6.99,135.87,-34.73,61.070000000000064,61.070000000000064
189,cherskiy,97,100,3.18,161.3,68.75,-22.449999999999953,-22.449999999999953
190,lazaro cardenas,54,97,5.08,-102.2,17.96,85.71200000000006,85.71200000000006
191,kavaratti,81,37,5.97,72.64,10.57,81.0680000000001,81.0680000000001
192,hohhot,76,0,2.0,111.65,40.81,-7.599999999999952,-7.599999999999952
193,mount pleasant,51,20,5.1,-79.86,32.79,60.15200000000008,60.998000000000026
194,ullapool,80,100,4.92,-5.16,57.9,48.272000000000034,50.0
